,id,date,username,name,tweet,language,sentiment,positive_score,negative_score,neutral_score,mixed_score
420,1360977795485216769,2021-02-14,abm___95,am95,@ALANSARI_AHMD @GoRafeeq سنون فك عمرك,ar,,,,,
421,1360976009340813313,2021-02-14,matar_alkuwari,مطر الكواري #75,@ALANSARI_AHMD @GoRafeeq والله هذا غيض من فيض !! مالومك والله ونصيحة اخ لاتطلب منهم في ابلكيشنات والله افضل بمراحل ٣٠ د ماكسيمم الاكل واصل على سبيل المثال طلبات 👌🏼,ar,,,,,
422,1360975100569354246,2021-02-14,alansari_ahmd,أحمد الأنصاري #75,@Matar_Alkuwari @GoRafeeq وقت الطلب 15:55 وقت الاستلام 18:30 وعليك الحسبه,ar,,,,,
423,1360973740369182722,2021-02-14,hamadaln3imi,حمد النعيمي,@ALANSARI_AHMD @GoRafeeq انصح دائما ب @snoonu_qa  من بداية جائحه كورونا وانا اتعامل معاهم و الاحظ تطور دائم في الخدمه .,ar,,,,,
424,1360973455311712256,2021-02-14,matar_alkuwari,مطر الكواري #75,@GoRafeeq انتم اسوء برنامج توصيل في قطر !! قرار نهائي لو اموت من الجوع ماطلبت منكم 🤫,ar,,,,,
425,1360973231981793283,2021-02-14,matar_alkuwari,مطر الكواري #75,@ALANSARI_AHMD @GoRafeeq انا اشهد اسوء ابلكيشن صار لي اسبوعين والله ما اطلب منهم اقل طلب ساخذ مب اقل من ساعه !! سيء جدا جدا يعيشك في حالة نرفزه لا والاكل يجيك بارد 😬,ar,,,,,
426,1360972200921227268,2021-02-14,alansari_ahmd,أحمد الأنصاري #75,اسوء تجربه ممكن تعيشها في حياتك هي انك تطلب من رفيق 👎🏼  تعجز الكلمات عن وصف سوء التجارب السلبيه المتكرره ..   بإذن الله التجربه الاخيره   @GoRafeeq,ar,,,,,
428,1360864435972276224,2021-02-14,yousufalbader,Yousuf AlBader,@GoRafeeq تم حل الموضوع ✅,ar,,,,,
429,1360838686435405824,2021-02-14,bo_jana2011,قطري وافتخر,@GoRafeeq بطريقه غير مباشره 😂😂😂,ar,,,,,
431,1360649766594617345,2021-02-13,archmaryam89,🇶🇦 ﮼م،مريم,@GoRafeeq 24519446,und,,,,,
434,1360592516538650627,2021-02-13,archmaryam89,🇶🇦 ﮼م،مريم,@GoRafeeq السلام عليكم.. كنت طالبة طلب اليوم واستلمته بعد تاخير والتغليف كان جدا سيء .. صورت شكل الاكل والتغليف .. الصحون فوق بعضها والاكل طالع في الكيس من الاجناب .. تواصلت معاكم وبكل برود الموظفة تقول ان بنخلي السايق يرجع ياخذ الاكل ويرجع الفلوس .. هالكلام كان الساعه ٢ونص,ar,,,,,
435,1360553896612102146,2021-02-13,yousufalbader,Yousuf AlBader,طلبت من رفيق منتج اللي بالصورة و كاتبين مع طلبك ، ستحصلين على زجاجة واحدة من الفيتامينات شوجر بير  هير .. اللي فهمته بحصل منتج اضافي مجانا لكن هم قالوا لي روح اشتكى عند حماية المستهلك .. وين الحرص ع المستهلك @GoRafeeq @MOCIQatar وين الرقابه ع هال شركات الاون لاين  https://t.co/5XE7Yndlga,ar,,,,,
436,1360546789011689472,2021-02-13,intercondoha,InterContinentalDoha,Kick back and relax after a long week at work. Let us take care of your meal tonight and enjoy Paloma from @talabatqa or @gorafeeq.   #InterContinentalDoha #PalomaDoha #talabat #rafeeq  https://t.co/xoVK2tF5Jb,en,,,,,
438,1360526692666793986,2021-02-13,zaidabouqamar,zaid abouqamar 🇶🇦🇨🇦🇵🇸,@GoRafeeq ما تم التواصل معي الان ولا على رسالة خاصة. الرسالة الخاصة هي مجرد رد تلقائي,ar,,,,,
440,1360526018319114241,2021-02-13,zaidabouqamar,zaid abouqamar 🇶🇦🇨🇦🇵🇸,@GoRafeeq تك بعث رقم الطلب مسبقا بس مافي رد منكم لا على تلفون ولا على تويتر,ar,,,,,
442,1360525639007277056,2021-02-13,zaidabouqamar,zaid abouqamar 🇶🇦🇨🇦🇵🇸,@GoRafeeq السلام عليكم، كيف يمكن التواصل معكم؟  https://t.co/sDu0PXgAF7,ar,,,,,
445,1360241294392627202,2021-02-12,generalproduct,جنرال برودكت للتجارة,@HamadBu86 للطلب والتوصيل من خلال تطبيقنا الموجود في الصفحة الرئيسية أو تطبيق رفيق @gorafeeq أو سنونو @snoonu  أو تطبيق @foody.qatar   أو تطبيق @purplebox.qa أو الإتصال على  55777877 ☎️ من السبت الى الخميس  من 9 صباحاً الى 9 مساءً,ar,,,,,
446,1360217404681441283,2021-02-12,alnaamaaa,m3ood 🦦,@911hsx @GoRafeeq اي والله خدمتهم زباله، ترا خدمتكم تفشل يعني شلون تبون الناس تطلب منكم اذا انتوا خدمتكم زباله؟ حتى الcall center محد يرد فيه.,ar,,,,,
447,1360214602596954123,2021-02-12,b0m7md1999,بدر بن عبدالله السادة,@GoRafeeq يعني اكلمكم فوق العشر مرات وماحليتوا المشكلة ويوم غسلتكم قدام العالم جايين تراكضون لي!,ar,,,,,
450,1360201186230628353,2021-02-12,911hsx,H. Al-Essa,@b0m7md1999 @GoRafeeq 😂😂😂😂😂😂,und,,,,,
451,1360200940280815618,2021-02-12,b0m7md1999,بدر بن عبدالله السادة,@911hsx @GoRafeeq افا ! ياخسارة شوميله بس,ar,,,,,
452,1360200677964865536,2021-02-12,911hsx,H. Al-Essa,@b0m7md1999 @GoRafeeq اي ارضى الخسارة حق ولد بلادي 😂,ar,,,,,
453,1360200493977468935,2021-02-12,b0m7md1999,بدر بن عبدالله السادة,@911hsx @GoRafeeq شفيك لازم تدعم التطبيق القطري ترضى الخسارة حق ولد بلادك!,ar,,,,,
454,1360200146097684485,2021-02-12,911hsx,H. Al-Essa,@b0m7md1999 @GoRafeeq انا قايل انهم خمّة من زمان، يا زين الشركات الثانية بس,ar,,,,,
455,1360199557162893312,2021-02-12,b0m7md1999,بدر بن عبدالله السادة,@911hsx @GoRafeeq لا وحراميه بعد ساحبين مني فلوس بالغلط من شهر ١١ ولحين مارجعوها كل ماكلمهم يكذبون علي ويصرفوني🙂🤣,ar,,,,,
456,1360199407161999363,2021-02-12,k1101_,Khalid.,@911hsx @GoRafeeq صدقني بتضبط جرب😂😂,ar,,,,,
457,1360199287620194307,2021-02-12,911hsx,H. Al-Essa,@K1101_ @GoRafeeq بسويها المرة الجاية و ان تأخر اكثر من ساعة والله ما افتح له الباب و خله يتنقع برع,ar,,,,,
458,1360199031801135108,2021-02-12,k1101_,Khalid.,@911hsx @GoRafeeq لا تدفع من البطاقة لانك ان دفعت عادي يوصلك الطلب عقب بكره بس حط الدفع عند الاستلام جوف شلون بيوصل ف خمس دقايق,ar,,,,,
459,1360198056369659908,2021-02-12,911hsx,H. Al-Essa,خدمتكم زبالة و كل مرة اطلب لازم يروح يوصل عشرين طلب قبلي ! و ما يوصل الاكل الا بعد ساعتين عالأقل  @GoRafeeq  و لما اتصل فالمطعم يقولون ان الطلب من زمان طالع بس اكيد يوصل اكثر من طلب فنفس الوقت,ar,,,,,
460,1360197379899740162,2021-02-12,911hsx,H. Al-Essa,يعني ساعتين و ما وصل الطلب و آخر شي رايح المطار شيسوي 🙂 شهالمصخرة بيجيني على طيارة مثلاً ؟  @GoRafeeq  https://t.co/3HnefcP7t9,ar,,,,,
462,1359837695044853763,2021-02-11,notmozaa,موزة,@GoRafeeq خدمتكم سيييييييييييئة,ar,,,,,
466,1359237531376766978,2021-02-09,___9206,🍅,@lowrenceofqatar @GoRafeeq @Bomjalyqtr خلاص بنحذفه,ar,,,,,
467,1359206505418006528,2021-02-09,q6r_34,๓ba.q6ř ღ,@GoRafeeq الطلب يوصل بهالطريقه واتقولون اطلب من رفييق لا  مانطلب منكم اتعس تطبيق وفوق ذي تبونا ندفع مره ثانيه ثمن غلطكم ؟؟؟ ولا حتى اتصلحون اخطائكم ؟؟ فعلا خوش خدمه يازيين البرامج المنافسه لكم واولهم سنونو 👏🏻👌🏻 انتو للابد اكسسسس  https://t.co/N21LtdrPTW,ar,,,,,
468,1359195583689457668,2021-02-09,lowrenceofqatar,بودعيج 🇶🇦,@___9206 @GoRafeeq @Bomjalyqtr حذفوا التطبيق او شيلوا سكروا الاشعارات من الاعدادات,ar,,,,,
470,1359148483052269568,2021-02-09,nilaz11,نيلازّ ٧٧.,@Nasser_Alwobair @GoRafeeq كيف اقدر اطلب الكتاب ؟,ar,,,,,
472,1358826470471327749,2021-02-08,obi_m,Maha 🇶🇦,@GoRafeeq Thank you I also need replenishment please,en,,,,,
474,1358787694449549312,2021-02-08,obi_m,Maha 🇶🇦,@GoRafeeq 24021035 here you go the driver disappeared yesterday I never got a call after that and kept seeing online that the food is on it’s way,en,,,,,
480,1358642732550533121,2021-02-08,85_bn,محمد الرويلي,@GoRafeeq الخدمة سيئة جداً الوقت غير دقيق 👎🏻 ساعة ونص تاخير عن الوقت اللي كاتبينه لو ادري ما طلبت 😡,ar,,,,,
481,1358497822883123217,2021-02-07,nalyazidi,نوره,@k2a99 @GoRafeeq مشغولين بالبوتيكات🤣,ar,,,,,
482,1358496477430054915,2021-02-07,obi_m,Maha 🇶🇦,@GoRafeeq I’ve made an order 1:45 min ago. And when I called the driver he shut the phone. Called to cancel or speak to someone 4 times and no one answers the phone!,en,,,,,
483,1358344418500235265,2021-02-07,tbakh_alwaldah,طباخ الوالدة,• عيش شيلاني مع صافي •  للطلب والاستفسار يرجى التواصل على الأرقام التالية: ٤٤٤٤٦٧٦٧ / ٤٤٤٤٠٨٧٠ / ٤٤٤٤٠٧٨٠ أو يمكنكم الطلب عبر التطبيق الخاص بنا أو عن طريق تطبيقات التوصيل @gorafeeq @carriageqatar  https://t.co/QWz4Ohg0Fi,ar,,,,,
485,1357344959943200769,2021-02-04,f_bnabdullh,فٓــوّآز ٰ,@jawaherburshaid @GoRafeeq ههههههههههههههههه 😄,ar,,,,,
486,1357249124861677572,2021-02-04,tbakh_alwaldah,طباخ الوالدة,• عيش شيلاني مع جنعد •  للطلب والاستفسار يرجى التواصل على الأرقام التالية: ٤٤٤٤٦٧٦٧ / ٤٤٤٤٠٨٧٠ / ٤٤٤٤٠٧٨٠ أو يمكنكم الطلب عبر التطبيق الخاص بنا أو عن طريق تطبيقات التوصيل @carriageqatar  @gorafeeq  https://t.co/R3aUVMiSNc,ar,,,,,
490,1356852658724892672,2021-02-03,aazizaljanahi,عبدالعزيز الجناحي,@GoRafeeq هاي رقم الطلب .. وصل يمكن عقب ساعتين وكنت راقد حزتها .. سواقكم حرق الجرس لين طلعوا له وخذوا الطلب وقطوه في الزبالة  https://t.co/4cbwuX0Y4R,ar,,,,,
492,1356734026640486410,2021-02-03,6raffic,Qa6r,@GoRafeeq @AlMeeraQatar  هل تقومون بالتوصيل عبر برنامج رفيق؟ لانه تم افادتي انكم في فترة تجريبية بالوقت الحالي ولا تستقبلون الطلبات سوى من فرع محدد(بدون ذكر الفرع من قبل الاخوة في برنامج رفيق) ويمكنكم الاطلاع على التغريدات السابقة,ar,,,,,
493,1356704520542318593,2021-02-02,aazizaljanahi,عبدالعزيز الجناحي,@GoRafeeq شالفايدة اطلب عشا ويوصلني وقت الريوق 😂,ar,,,,,
494,1356689524949147650,2021-02-02,6raffic,Qa6r,@GoRafeeq تم ابلاغي بالخاص ان الميرة حاليا في فترة تجريبية!! هل هذا صحيح؟,ar,,,,,
496,1356612261486481409,2021-02-02,malhajjaji85,بوحمد,@2althani @GoRafeeq والله شركة فاشله بكل معنى الكلمه  ولا مره طلبت وماتاخر الطلب واليوم طالب الساعه ٢ ونص ووصل الطلب ناقص ساييبين سندويشه وحده بس وطلب عيالي ما يابوه ومن نفس المطعم والحين الساعه ٥ ونص ولا وصل شركة فاشله بكل المقاييس ومن اليوم بحذف الابلكيشن من تلفوني👎🏼👎🏼👎🏼,ar,,,,,
500,1356531871405006852,2021-02-02,6raffic,Qa6r,@GoRafeeq مرحبا، حاولت الطلب الان الساعة ١٢م وجتني هذه الرسالة  https://t.co/9a6SroNRbI,ar,,,,,
502,1356333255021240320,2021-02-01,larazeyoud,ᒪᗩᖇᗩ 🐣,"@GoRafeeq I do agree that human mistakes happen, but that was extremely annoying and unacceptable. The order ID is 23386428, I am not looking for compensation but for a better service from you guys. Thanks",en,,,,,
503,1356328931910164481,2021-02-01,mozamannai,موزه المناعي,@GoRafeeq اسواء خدمه توصيل طلبات👎🏻,ar,,,,,
509,1356299299164864512,2021-02-01,larazeyoud,ᒪᗩᖇᗩ 🐣,@GoRafeeq worst delivery app in Qatar!! Yesterday I made the order @ 8:00 pm and I received it at around 11:00 pm!! The food was cold and the pepsi is spelled inside the bag! The sandwich was actually wet!  Either hire more drivers or don't accept the order!!  #Qatar #doha  https://t.co/btMsg1vlyZ,en,,,,,
512,1356262995899383810,2021-02-01,khalidalnshera,أياماً تُعد ..,@GoRafeeq رجعوا فلوسي الي دافعها بس مشكورين 🙂,ar,,,,,
513,1356163004698652674,2021-02-01,jassimal_ali,جاسم بن محمد العلي,@GoRafeeq طرشت ونشوف .,ar,,,,,
514,1356158241152126977,2021-02-01,tbakh_alwaldah,طباخ الوالدة,• مجبوس دجاج •  للطلب والاستفسار يرجى التواصل على الأرقام التالية: ٤٤٤٤٦٧٦٧ / ٤٤٤٤٠٨٧٠ / ٤٤٤٤٠٧٨٠ أو يمكنكم الطلب عبر التطبيق الخاص بنا أو عن طريق تطبيقات التوصيل @carriageqatar @gorafeeq  https://t.co/7b1S4Zre1g,ar,,,,,
516,1356153499894095872,2021-02-01,jassimal_ali,جاسم بن محمد العلي,"@GoRafeeq حمد الله على السلامة . لا اتصال ولا اكل ولا فلوس . وبعدين الابلكيشن "" مخبط "" مايبين الطلبات السابقة  https://t.co/Z4Lt9kM1Ez",ar,,,,,
523,1356009568724262913,2021-02-01,abosara33500,ABA ALAMRI,لو سمحتو يا @GoRafeeq  انا طالب من ماكدونالد وبينه وبينه بالسياره دقيقتين  الطلب الساعه ١١ و٤٦ دقيقه الحين الوقت ١  و٣٧  تخيل الطلب ماوصل  ماشاءالله عليكم على كثر المشاهير الي يسون لكم دعاي عرفنا ان السالفه مصلحه في مصلحه  https://t.co/H6aVS76QeF,ar,,,,,
524,1355999687111823363,2021-02-01,khalidalnshera,أياماً تُعد ..,@GoRafeeq صار لي ساعتين بالضبط طالب من مطعم يبعد عن بيتي ١٥ دقيقه بالسياره وللحين تحت التحضير واتصل لرقمكم من نص ساعه وكله مشغول خدمتكم اكثر المرات سيئه جداً ويعطيني العافيه الي للحين ادعم التطبيق القطري مع انه سيء واتمنى تتطورون.,ar,,,,,
525,1355985029445332997,2021-02-01,jassimal_ali,جاسم بن محمد العلي,@GoRafeeq يعني الحين الكول سنتر مايردون . انتو بتردون . بس يالله نشوف,ar,,,,,
526,1355984518172311559,2021-02-01,jassimal_ali,جاسم بن محمد العلي,@GoRafeeq تاخر الطلب . والكول سنتر مشغول ؟؟ شسالفة ؟؟,ar,,,,,
527,1355973993384321029,2021-01-31,q_love15,ســنـــيار قـــطــر .. المعالى كايده,"@GoRafeeq والله كنت متوقع انكم ملتزمين ولكن للاسف صرت ارسل السايق ولا اطلب من خلالكم    كل ما اطلب المطعم يقولى الاكل جاهز لكن رفيق ما راجعو المطعم وكالعاده تتكنسل الطلبات   والله وبكل امانه تطبيق فاشل وخدمه فاشله   ""DELETE “",ar,,,,,
528,1355968557847367682,2021-01-31,saadhamad123123,Saad Hamad,@GoRafeeq @RoziAlSayed وفوق هذا كله ..رقم التواصل مشغول والسايق مغلق...يلا أفيدونا,ar,,,,,
529,1355968307682304001,2021-01-31,saadhamad123123,Saad Hamad,@GoRafeeq @RoziAlSayed ممكن تجاوبوني؟! معقولة طلب من الساعة 8:19  والساعة 10:56 وإلى الآن ماوصل؟؟!؟ وراح آرسل الأدلة,ar,,,,,
530,1355957316110180352,2021-01-31,bouof1,عبدالرحمن المطاوعة,@GoRafeeq  متى بيكونون عملائكم فاضين عشان يردون علينا 👎🏻,ar,,,,,
532,1355768200076668934,2021-01-31,hbm__qq,...,@IIFTMAII @GoRafeeq  شفتو شلون,ar,,,,,
538,1355749157219262466,2021-01-31,healthydietq,Healthy Diet,سعرات اقل وطعم اطيب .. جرب الآن هاوايان سلمون .. من المنيو اليديد متوفر الآن على تطبيقات @carriageqatar  @talabatqa  @gorafeeq  @AklyOfficial  https://t.co/C7DoFWy6l9,ar,,,,,
541,1355586824467591169,2021-01-30,ar_aalsayed,عبدالرحمن أحمد السيد,@GoRafeeq معظم الشركات اللي تتميزون عنهم يعرفون ان الوصول لمناطق اكثار مايكون على حساب الجوده للطلب اللي بيوصل للزبون والضغط عذر تستخدمونه بكل الاوقات مب فقط بالويكيند ف اتمنى التميز مايكون بالدعايات والتعاقد مع المؤثرين للدعايات لمحاوله تجميل الواقع .. تم ارسال رقم الطلب عالخاص للعلم,ar,,,,,
543,1355582960997715970,2021-01-30,ar_aalsayed,عبدالرحمن أحمد السيد,@GoRafeeq اعتقد بتكملون فوق السنتين كشركة ولازالت خدمة العملاء عندكم سيئة ومازالت خدمتكم بشكل عام كل مالها بتدهور ..ماعرف شلون تبون الناس تدعمكم كشركه وطنيه وانتوا بهالسوء..وعذر الضغط اللي ماعندكم غيره يعني انكم ماتعرفون اساسيات ادارة الموارد الخاصة بالشركة وماتعرفون تقيمون وضعكم,ar,,,,,
544,1355576180481667076,2021-01-30,f_6_a_i_m,F6aim,@GoRafeeq وبانتظار اتصالكم الى الان وحتى لو عرفت المشكله وين ماقاعدبن تحسنون من خدماتكم.. لازالت المشكله تتكرر يومياً معاي ومع غيري .. الطلبات جاهزه فالمطاعم والسواقين مايوصلون للمطعم ولا يستلمونه الا متاخر والمشكله فوق تأخيره يوصل اكثر من طلب ويوصل الطلب باااارد,ar,,,,,
545,1355555715264487427,2021-01-30,2althani,Me,@GoRafeeq المطعم انتم حاطينه للتوصيل لمنطقتي خلال ساعه تقريباً ، مفروض انكم تلتزمون بوقتكم ثانياً المطعم متصل لي في الوقت اللي مفروض استلمت طلبي يعتذر عن التأخير منكم وللحين سايقكم ماوصل عنده ياخذ الطلب ! وانه كلمه وقاله بيوصله بعد ١٠ دقايق ! ويقول ان كذا مره يصير منكم تأخير في اخذ الطلب,ar,,,,,
550,1355411570818478080,2021-01-30,___9206,🍅,انتو بخير ؟ 🙂 @GoRafeeq  https://t.co/ZDPaAZ86su,ar,,,,,
551,1355410497437392896,2021-01-30,iafraa96,ِ,@laaldarwish @GoRafeeq الكل يشتكي من رفيق اله انا عندي احسن ابلكيشن في قطر ويوصل بسرعه 🤣,ar,,,,,
552,1355266338210643971,2021-01-30,tahhani974,بنت قطر 🇶🇦🕊,@ahmadalhitmi @GoRafeeq كود خصم توصيل مجاني على جميع الطلبات في تطبيق سنونو  https://t.co/xj5bNvUxxj,ar,,,,,
553,1355266234800107529,2021-01-30,tahhani974,بنت قطر 🇶🇦🕊,@hamadrashid89 @laaldarwish @GoRafeeq كود خصم توصيل مجاني على جميع الطلبات في تطبيق سنونو  https://t.co/6mp8isw9Is,ar,,,,,
554,1355256419130503171,2021-01-29,aggiequeen,كلمات من كل أعماقي♥️,@GoRafeeq حتى في الانستقرام مالهم يوقفون الردود على البوست علشان محد يكتب لهم، في نظري خدمتكم الاسوء في قطر! آكيد ما راح اكرر الطلب منكم👎🏼,ar,,,,,
555,1355256019715301387,2021-01-29,aggiequeen,كلمات من كل أعماقي♥️,"@GoRafeeq من أكثر الخدمات السيئة في قطر ""رفيق""... احط الطلب الساعة ٨:٣٠ بالليل يوصلني الطلب الساعة ١١ بالليل و بارد!  اذا ما تقدرون توفرون الخدمة بالوقت المحدد لا تستقبلون الطلب من البداية، نتصل فيهم يسكرون في ويهنا من خدمة الرد الآلي، تكلم الموظف يكلمك بأسلوب كأن متفضل عليك",ar,,,,,
556,1355201522427166720,2021-01-29,855alnayfh,حره على كف صقّار,"@Nasser_Alwobair @GoRafeeq أبارك لك تدشين كتابك ""انكسار"" كتابك بحر زاخر من الروعة والشغف والابداع .. عمل أدبي يجمع بين الشعر والروايه فلا جديد إلا المزيد من إبداعاتك وروعتك ....، وانت انتصار مو انكسار وبالتوفيق دائماً وأبداً 💙👏🏻👏🏻",ar,,,,,
557,1355192143950831622,2021-01-29,mozamd,mozamd 🇶🇦,@GoRafeeq والله ماعتقد من اولوياتكم اذا رقم خدمة العملاء دائماً مافيه حد للخدمه,ar,,,,,
558,1355154374549504002,2021-01-29,hamadrashid89,حمد الرميحي,@laaldarwish @GoRafeeq صارلي شهر مع سنونو ومرتاح,ar,,,,,
559,1355139416818331648,2021-01-29,f_6_a_i_m,F6aim,@GoRafeeq تدرون اذا مارديتوا علي خلال خمس دقايق اعتبروا الاوردر متكنسل ولحد يتواصل معاي ولا راح ادفع ريال واكلوا الطلب :),ar,,,,,
560,1355139239428689921,2021-01-29,f_6_a_i_m,F6aim,@mozamd @GoRafeeq مافي فايده ولا يتواصلون مجرد شو في تويتر واعلانات وهم مب قدها,ar,,,,,
561,1355137316327743493,2021-01-29,f_6_a_i_m,F6aim,@GoRafeeq تم تزويدكم به ولم يتم التواصل معي والى الان موقف الطلب بدون ابديت وبدون اي رقم للسايق .. و لا زلت غير قادره عالتواصل معاكم والخط يفصل لان مافي عملاء فاضيين من اكثر من ساعه.. لاتلومون العملاء ان كنسلوا الاوردرات اذا انتوا مب قد الشغله وقفوا بعض اشغالكم وخففوا على نفسكم  https://t.co/QhTwY3XmRi,ar,,,,,
564,1355130094336020480,2021-01-29,f_6_a_i_m,F6aim,@GoRafeeq سؤال يعني لما نتصل نبي نعدل اوردر على طول بعد الطلب وماعندكم موظفين ويقول (جميع عملاءنا مشغولين حاليا الرجاء الانتظار) ويصك الخط ونرجع نتصل ولا عشرين اتصال ولا في خط تواصل ثاني معاكم تبونا نقبل الطلب لما يوصل بارد ؟ والا ندفع ؟ والطلب خايس فالمطعم ولا استلمتوه!,ar,,,,,
565,1355114386646560769,2021-01-29,ahmadalhitmi,احمد الهتمي,@laaldarwish @GoRafeeq مرة طلبت من عندهم ١٠ فليل تأخروا علي ، يابولي الطلب اول مافتح المطعم اليوم الثاني الساعة ٨ الصبح؟؟، حتى ماشتكيت ولا شيء بس مسحت الapp وحولت سنونو,ar,,,,,
566,1355110465563734017,2021-01-29,mozamd,mozamd 🇶🇦,@GoRafeeq للاسف اسوء خدمة عملاء و تأخر مستمر,ar,,,,,
567,1355102996162555904,2021-01-29,qtr4l3z,QATAR AL3Z,"@Q_l983 @GoRafeeq 

اتفق معاك وحذفناه من فترة 👎🏻",ar,,,,,
568,1355090685406441473,2021-01-29,snoonu_qa,سنونو snoonu,@laaldarwish @saalderham @GoRafeeq حياكم الله جميعا تشرفونا,ar,,,,,
569,1355090340743700481,2021-01-29,laaldarwish,Latifa Al-Darwish,@saalderham @GoRafeeq @snoonu_qa خلاص من اليوم ورايح سنونو,ar,,,,,
570,1355006096377831424,2021-01-29,saalderham,ساره الدرهم,"@laaldarwish @GoRafeeq I deleted them a long time ago, and now I only use @snoonu_qa! I have zero complaints, they’re the best! Also, quick to answer customer service on WhatsApp and the phone.",en,,,,,
571,1354899794796359680,2021-01-29,laaldarwish,Latifa Al-Darwish,@GoRafeeq المشكلة ان الطلب بدل ماياخذ ساعه خذى ساعتين  ووصل طبعا وهو بايت  اذا الطلب بيتاخر او عليكم ضغط المفروض يكون عند الزبون خبر  بس مب مشلكة مره ثانيه باستخدم سنونو,ar,,,,,
572,1354893925908156417,2021-01-28,k2a99,•KAM,@GoRafeeq كنسلت الطلب ، من ١:٢٠ لين ٧ فليل محد سوى شي ولا حتى تجهز  ، اذا مو قد الخدمه لا تدقون الصدر,ar,,,,,
577,1354883844722327552,2021-01-28,laaldarwish,Latifa Al-Darwish,@DrKahlOuT @GoRafeeq @snoonu_qa عجيبين سنونو انا غلطانه طالبه من رفيق,ar,,,,,
578,1354881136753840129,2021-01-28,laaldarwish,Latifa Al-Darwish,@itsw5r @GoRafeeq 💯😅,und,,,,,
579,1354875393564618752,2021-01-28,itsw5r,Abdulrahman Al-Darwish,@laaldarwish @GoRafeeq المعصره احسن 😂😂,ar,,,,,
580,1354874934418419718,2021-01-28,laaldarwish,Latifa Al-Darwish,لاحد يطلب من @GoRafeeq فالويكاند 😀,ar,,,,,
581,1354871308522311685,2021-01-28,___qatari___,قطر,@GoRafeeq  الخدمه كل فتره تصير أسوأ الواحد يتحسف يطلب منكم ،،، انتو ماتطورون خدمتكم انتو تدمرون خدمتكم اذا ماتقدرون على المطاعم صكوها وخلو محلات المشاهير اذا مب قادرين تجيبون سواقين العميل ماله ذنب يتحمل تعاسة خدمتكم,ar,,,,,
582,1354806812340457479,2021-01-28,k2a99,•KAM,@GoRafeeq ٥ ساعات وليحين ما وصل طلبي شتحلووون,ar,,,,,
584,1354774229187702786,2021-01-28,k2a99,•KAM,@GoRafeeq من صجكم الطلب ياخذ فوق الساعتين ونصصصصصصص ولا حد يرد ع المكالمه,ar,,,,,
588,1354723358970155009,2021-01-28,6raffic,Qa6r,@GoRafeeq هل ممكن عدم اضافة اشياء للسلة بسبب ان الميرة مغلقة او خارج اوقات الدوام الرسمي؟ لانه الان اضافة اشياء للسلة متاح.,ar,,,,,
589,1354721256591945737,2021-01-28,im_memories,ذكريات🎗,@GoRafeeq  المفروض انه يكون هالابلكيشن الافضل لكن للاسف أسوأ برنامج 👎🏽,ar,,,,,
590,1354708938923659264,2021-01-28,tbakh_alwaldah,طباخ الوالدة,• مجبوس لحم •  للطلب والاستفسار يرجى التواصل على الأرقام التالية: ٤٤٤٤٦٧٦٧ / ٤٤٤٤٠٨٧٠ / ٤٤٤٤٠٧٨٠ أو يمكنكم الطلب عبر التطبيق الخاص بنا أو عن طريق تطبيقات التوصيل  @CarriageQatar @gorafeeq  https://t.co/87YuOlcKjF,ar,,,,,
593,1354628243316473857,2021-01-28,qtr_q74,مشاعرك 🍂,@rashidalhajri88 @kholoudQatar14 @Dee__RA @GoRafeeq كود خصم توصيل مجاني على جميع الطلبات في تطبيق سنونو  https://t.co/B9pPVNJWzd,ar,,,,,
594,1354624958173995010,2021-01-28,6raffic,Qa6r,@GoRafeeq مرحبا هل يوجد خطأ في برنامج رفيق بخصوص الميرة حاولت اضيف اشياء للسلة بس زر الاضافة غير متاح؟!,ar,,,,,
595,1354556069436129284,2021-01-28,majdi_alkhateb,Majdi Alkhateb,#gorafeeq,und,,,,,
596,1354480412144365580,2021-01-27,rashidalhajri88,Rashid Alhajri,@kholoudQatar14 @Dee__RA @GoRafeeq سنونو ولا غلطة الصراحة 👌🏽,ar,,,,,
598,1354478715485483010,2021-01-27,m_alwbeeri,M7madalwbeeri,@Nasser_Alwobair @GoRafeeq بالتوفيق يابو تركي ❤️,ar,,,,,
599,1354477019350839304,2021-01-27,nasser_alwobair,ناصر الوبير,@dr_m_alsaleh @GoRafeeq الله يبارك في عمرك يا دكتور .. 🌹,ar,,,,,
600,1354424732196728836,2021-01-27,noufmoh02885788,Nouf bint Mohammed,@GoRafeeq عندي مشكلة في المحفظة ، مع ان عندي مبلغ لكن مايظهر لي ، هاذي المره الثانية اللي اكلمكم فيها ومحد سوى لي شي,ar,,,,,
603,1354394031170707459,2021-01-27,alnaamaaa,m3ood 🦦,@GoRafeeq الله يسلمكم بس ترا مصخت وايد بطيئين بتوصيل الطلبات :),ar,,,,,
605,1354389792012840961,2021-01-27,n00n_s,ْ,@Nasser_Alwobair @GoRafeeq يارب أمتلكه وموقع ب أسمي ❤️,ar,,,,,
